dia-semana;situacao;momento-dia;temp;pista;Vitimas
segunda-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
domingo;Feridas;Pleno dia;Nublado;Dupla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
terca-feira;Feridas;Pleno dia;Ceu Claro;Multipla;1
sabado;Feridas;Pleno dia;Ceu Claro;Multipla;1
sabado;Feridas;Plena Noite;Ceu Claro;Multipla;1
terca-feira;Sem Vitimas;Pleno dia;Sol;Multipla;1
quinta-feira;Feridas;Pleno dia;Ceu Claro;Dupla;1
sexta-feira;Sem Vitimas;Pleno dia;Ceu Claro;Multipla;2
segunda-feira;Feridas;Pleno dia;Sol;Dupla;2
terca-feira;Feridas;Pleno dia;Ceu Claro;Multipla;2
sexta-feira;Feridas;Pleno dia;Sol;Dupla;2
sabado;Feridas;Pleno dia;Ceu Claro;Multipla;2
sabado;Feridas;Pleno dia;Ceu Claro;Dupla;2
sabado;Fatais;Plena Noite;Ceu Claro;Multipla;2
domingo;Feridas;Pleno dia;Nublado;Dupla;2
domingo;Feridas;Pleno dia;Nublado;Dupla;2
quarta-feira;Sem Vitimas;Pleno dia;Sol;Dupla;2
segunda-feira;Feridas;Pleno dia;Sol;Dupla;2
quinta-feira;Feridas;Plena Noite;Nublado;Dupla;2
sexta-feira;Feridas;Pleno dia;Chuva;Dupla;2
quinta-feira;Feridas;Pleno dia;Sol;Dupla;2
domingo;Feridas;Plena Noite;Sol;Dupla;2
domingo;Feridas;Pleno dia;Sol;Multipla;2
terca-feira;Sem Vitimas;Anoitecer;Nublado;Dupla;2
quinta-feira;Sem Vitimas;Pleno dia;Ceu Claro;Dupla;2
segunda-feira;Feridas;Pleno dia;Sol;Dupla;2
segunda-feira;Feridas;Pleno dia;Chuva;Dupla;2
quinta-feira;Sem Vitimas;Plena Noite;Ceu Claro;Multipla;2
terca-feira;Feridas;Pleno dia;Ceu Claro;Dupla;2
domingo;Feridas;Anoitecer;Nublado;Dupla;2
segunda-feira;Feridas;Pleno dia;Ceu Claro;Dupla;2
segunda-feira;Feridas;Pleno dia;Ceu Claro;Simples;2
quarta-feira;Feridas;Anoitecer;Ceu Claro;Dupla;2
