"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
185021;2019-01-13;"domingo";"19:30:00";"SP";116;213;"GUARULHOS";"Falta de Atenção à Condução";"Colisão lateral";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Não";3;0;2;0;0;1;2;2;"-23.4410518";"-46.44070815";"SR-SP";"DEL6/1";"UOP01/SP"
185022;2019-01-13;"domingo";"19:00:00";"SP";116;306;"SAO LOURENCO DA SERRA";"Falta de Atenção à Condução";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Dupla";"Curva";"Sim";2;0;2;0;0;0;2;1;"-23.85036004";"-46.93874359";"SR-SP";"DEL6/4";"UOP01/SP"
185023;2019-01-13;"domingo";"18:15:00";"MT";364;202;"RONDONOPOLIS";"Ingestão de Álcool";"Colisão com objeto estático";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;0;0;1;0;0;1;"-16.4760163";"-54.65299741";"SR-MT";"DEL2/2";"UOP01/MT"
185024;2019-01-13;"domingo";"17:15:00";"PE";407;126,1;"PETROLINA";"Falta de Atenção à Condução";"Colisão com objeto estático";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva";"Sim";2;0;1;0;0;1;1;2;"-9.3868728";"-40.5258477";"SR-PE";"DEL11/6";"UOP01/PE"
185025;2019-01-13;"domingo";"18:35:00";"SE";235;47,1;"ITABAIANA";"Animais na Pista";"Atropelamento de Animal";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;"-10.731889";"-37.411335";"SR-SE";"DEL20/1";"UOP02/SE"
185026;2019-01-13;"domingo";"19:20:00";"SC";282;19,2;"PALHOCA";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Desvio Temporário";"Sim";3;0;1;1;1;0;2;2;"-27.678635";"-48.70192";"SR-SC";"DEL8/1";"UOP02/SC"
185027;2019-01-13;"domingo";"18:20:00";"PB";230;22;"JOAO PESSOA";"Ingestão de Álcool";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;0;0;3;0;0;1;"-7.1495";"-34.8517";"SR-PB";"DEL14/1";"UOP01/PB"
185028;2019-01-13;"domingo";"18:25:00";"CE";222;5;"CAUCAIA";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;"-3.74297";"-38.613312";"SR-CE";"DEL16/1";"UOP01/CE"
185029;2019-01-13;"domingo";"19:00:00";"MG";50;6,3;"UBERLANDIA";"Velocidade Incompatível";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva";"Não";2;0;0;0;1;1;0;1;"-18.931712";"-48.2361344";"SR-MG";"DEL4/15";"UOP02/MG"
185030;2019-01-13;"domingo";"18:00:00";"RR";401;5,1;"CANTA";"Ingestão de Álcool";"Colisão lateral";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";4;0;3;1;0;0;4;3;"2.786235";"-60.650505";"SR-RR";"UOP01/RR";""
185031;2019-01-13;"domingo";"10:50:00";"SC";280;99,2;"SAO BENTO DO SUL";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Múltipla";"Curva";"Não";1;0;1;0;0;0;1;1;"-26.37587";"-49.325443";"SR-SC";"DEL8/6";"UOP03/SC"
185032;2019-01-13;"domingo";"15:45:00";"GO";60;199;"GUAPO";"Falta de Atenção à Condução";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Não";1;0;0;0;1;0;0;1;"-16.87952273";"-49.61640358";"SR-GO";"DEL1/1";"UOP02/GO"
185033;2019-01-13;"domingo";"20:30:00";"RJ";465;4;"SEROPEDICA";"Falta de Atenção à Condução";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";1;0;1;0;0;0;1;1;"-22.740971";"-43.705597";"SR-RJ";"DEL5/1";"UOP03/RJ"
185034;2019-01-13;"domingo";"15:00:00";"BA";116;477,2;"SANTO ESTEVAO";"Desobediência às normas de trânsito pelo condutor";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Não Informado";"Não";3;0;1;0;2;0;1;2;"-12.51206628";"-39.37502774";"SR-BA";"DEL10/2";"UOP01/BA"
185035;2019-01-13;"domingo";"18:50:00";"MG";50;175;"UBERABA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva";"Sim";1;0;1;0;0;0;1;1;"-19.7793";"-47.9608";"SR-MG";"DEL13";"UOP01/MG"
185036;2019-01-05;"sábado";"09:50:00";"SC";101;12;"GARUVA";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Não Informado";"Não";3;0;0;0;2;1;0;2;"-26.0982";"-48.8676";"SR-SC";"DEL8/3";"UOP01/SC"
185037;2019-01-13;"domingo";"14:00:00";"SC";101;38,4;"JOINVILLE";"Falta de Atenção à Condução";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;"-26.29309849";"-48.88432145";"SR-SC";"DEL8/3";"UOP01/SC"
185038;2019-01-13;"domingo";"20:45:00";"PR";277;104;"CAMPO LARGO";"Restrição de Visibilidade";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Não Informado";"Sim";2;0;1;0;1;0;1;2;"-25.431664";"-49.39913758";"SR-PR";"DEL7/1";"UOP04/PR"
185039;2019-01-13;"domingo";"20:50:00";"PR";476;125;"CURITIBA";"Restrição de Visibilidade";"Colisão lateral";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Não Informado";"Sim";3;0;2;0;1;0;2;2;"-25.4083";"-49.219658";"SR-PR";"DEL7/1";"UOP06/PR"
185040;2019-01-13;"domingo";"15:20:00";"BA";116;642,5;"JAGUAQUARA";"Defeito Mecânico no Veículo";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";3;0;0;2;1;0;2;3;"-13.5835895";"-40.08327484";"SR-BA";"DEL10/3";"UOP01/BA"
185041;2019-01-13;"domingo";"21:35:00";"SC";101;208;"SAO JOSE";"Desobediência às normas de trânsito pelo condutor";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Múltipla";"Reta";"Sim";2;0;0;2;0;0;2;1;"-27.6101";"-48.6388";"SR-SC";"DEL8/1";"UOP01/SC"
